Hoehe;Breite;Frucht
9.3;9.7;Orange
9.2;9.3;Orange
9.5;8.9;Orange
9.3;7.5;Orange
8.3;7.7;Orange
8.2;7.5;Orange
8;7.9;Orange
7.8;7.7;Orange
7.9;7.1;Orange
7.8;7.2;Orange
7.7;7;Orange
7.6;7;Orange
7.3;6.9;Orange
7.3;6.7;Orange
7.2;7.6;Orange
7.1;7.2;Orange
7;7.1;Orange
7.1;6.6;Orange
10.5;7.3;Zitrone
10.2;7.2;Zitrone
10.1;7.2;Zitrone
9.6;7.2;Zitrone
9.2;7.1;Zitrone
8.8;5.8;Zitrone
8.6;6.5;Zitrone
8.6;6.1;Zitrone
8.5;6;Zitrone
8.3;6;Zitrone
8.2;5.8;Zitrone
8.2;6.1;Zitrone
8.1;5.9;Zitrone
7.7;6.4;Zitrone
7.5;6.1;Zitrone
